"Treatment.Act","BA","Recovery","cp.requirements","low","med","high"
"Control",75.2,NA,6,530.925318391552,702.919408843137,926.539030614328
"Control",75.3,NA,6,530.90045699878,702.530614570531,925.586425849296
"Control",75.4,NA,6,530.778037253319,702.147232507059,924.566197237206
"Control",75.5,NA,6,530.632232851073,701.807363112016,923.633928198332
"Control",75.6,NA,6,530.724474332337,701.431195030258,922.667855105478
"Control",75.7,NA,6,530.610714152322,701.023209896371,921.882922161605
"Control",75.8,NA,6,530.769671697557,700.653968451957,920.918966449588
"Control",75.9,NA,6,530.866258205961,700.187363379387,920.024601039889
"Control",76,NA,6,530.890374090567,699.814410465618,918.985039869788
"Control",76.1,NA,6,530.72223254153,699.342687102944,918.062508252238
"Control",76.2,NA,6,530.219070451588,698.953076995512,917.223151912275
"Control",76.3,NA,6,530.240748763464,698.555990036449,916.25392218736
"Control",76.4,NA,6,530.199880231437,698.188099147551,915.334675175345
"Control",76.5,NA,6,530.301697458409,697.870651954046,914.618694081685
"Control",76.6,NA,6,530.226231417566,697.531333207773,913.975645206459
"Control",76.7,NA,6,529.971308747399,697.14734849711,913.499683172615
"Control",76.8,NA,6,530.028466461713,696.736616257076,912.782028689096
"Control",76.9,NA,6,530.018606801463,696.370478707948,911.7860419853
"Control",77,NA,6,529.876386862529,695.881488892945,910.937476815306
"Control",77.1,NA,6,529.895516274715,695.532350185487,910.122187388337
"Control",77.2,NA,6,529.861072160794,695.084013501327,908.814337448955
"Control",77.3,NA,6,529.899373958748,694.625610241108,907.788989276489
"Control",77.4,NA,6,529.753181464713,694.220262319034,907.145366746264
"Control",77.5,NA,6,529.652036776361,693.820919733136,906.438426149837
"Control",77.6,NA,6,529.834937635431,693.382066265237,905.663079885254
"Control",77.7,NA,6,529.643342394921,692.961267908635,904.934324154498
"Control",77.8,NA,6,529.661913103969,692.449689174479,904.380139560342
"Control",77.9,NA,6,529.462509999874,692.077569645269,903.186847624158
"Control",78,NA,6,529.344443386126,691.686832610801,902.59770787847
"Control",78.1,NA,6,529.401810012976,691.302103234499,901.717216828734
"Control",78.2,NA,6,529.178499396338,690.901010165996,900.924613923761
"Control",78.3,NA,6,529.028428091701,690.434835896235,900.553218883237
"Control",78.4,NA,6,528.836663857768,690.087010638434,899.435997786354
"Control",78.5,NA,6,528.859795813493,689.733563399139,898.453970397101
"Control",78.6,NA,6,528.896674084463,689.390923861313,897.82213813584
"Control",78.7,NA,6,529.019825363028,688.995917086453,896.980849778184
"Control",78.8,NA,6,528.847036314289,688.562890101746,896.085076451577
"Control",78.9,NA,6,528.819685067145,688.108830397372,895.387458433404
"Control",79,NA,6,528.889211497691,687.727605968665,894.550582791095
"Control",79.1,NA,6,528.712563871747,687.363469292415,893.804324462521
"Control",79.2,NA,6,528.791494703917,686.977022414291,893.233111868948
"Control",79.3,NA,6,528.754547120974,686.544003065359,892.66382646273
"Control",79.4,NA,6,528.62375561285,686.136628037016,892.035958428836
"Control",79.5,NA,6,528.358931131429,685.694038594269,891.5263711072
"Control",79.6,NA,6,528.122571579838,685.282848959544,890.643371995486
"Control",79.7,NA,6,527.896083161369,684.855800853646,889.731365821995
"Control",79.8,NA,6,527.688930982869,684.351265450797,888.759859494892
"Control",79.9,NA,6,527.506782348124,683.976102527316,887.776523724903
"Control",80,NA,6,527.474812795172,683.590987125371,887.01477818211
